1,323,43233,41928,31911,16872,43165,49366,24120,41518,23656,41999,33645,47043,1974,17188,20927,2215,43909,27087,18309,
2,323,1974,6830,2233,3296,816,8861,3842,735,8465,1184,9415,1354,16824,316,13908,9415,12389,2121,33373,
3,316,316,316,816,9318,816,323,316,316,316,323,323,323,316,1035,223,316,1450,49270,12408,
4,223,316,316,316,316,2232,316,316,316,316,2043,5095,316,323,25939,323,34830,316,316,28210,
5,223,316,316,323,316,316,316,316,3371,316,316,323,316,316,316,316,316,316,57401,59846,
6,223,316,316,316,316,316,316,316,316,316,316,316,316,316,316,316,316,316,16328,1820,
7,223,316,316,316,316,316,316,316,316,316,316,316,316,316,316,316,316,316,33950,21156,
8,223,316,316,316,316,316,316,11925,316,316,316,316,316,316,316,316,316,316,4904,8994,
9,223,316,316,316,316,316,316,316,316,316,316,316,316,316,316,316,316,316,30474,24259,
10,223,316,316,6266,316,316,316,316,316,316,316,316,316,316,316,316,316,316,13660,19734,
11,223,316,316,316,316,316,316,316,316,316,316,180,316,891,316,316,316,316,3272,35377,
12,180,180,180,316,316,316,180,180,180,316,180,180,316,316,180,316,180,316,56946,14047,
13,180,180,180,316,180,180,316,316,180,180,316,180,180,180,180,180,180,316,429,58262,
14,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,20790,180,
15,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,52895,23454,
16,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,20086,31617,
17,180,180,25219,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,30587,
18,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,10842,6486,
19,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,46288,
20,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,
21,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,47839,180,24454,
22,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,23872,2127,
23,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,11036,36844,
24,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,14025,180,8446,54591,
25,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,15269,24834,
26,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,39805,180,
27,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,31133,180,
28,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,23705,180,
29,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,41982,
30,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,22279,
31,180,180,180,180,180,180,180,180,180,180,180,180,180,180,10631,180,180,180,180,32052,
32,180,180,180,48289,180,180,180,180,180,180,180,180,180,180,180,180,180,180,38252,40974,
33,180,180,13360,180,180,180,180,180,13360,180,180,180,180,180,13360,180,180,180,17012,8661,
34,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,18903,22308,
35,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,60068,33177,
36,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,25698,37391,
37,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,14479,
38,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,51216,42019,
39,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,28772,
